Matriz de Actividades VS Requisitos de sistema Buenperu,,,,,,,,
Proceso de Negocio,Actividad del Negocio,Responsable del Negocio,Requisito,,Caso de Uso,,Actores,Prioridad
Gestion de eventos deportivos,Comunicarse con el organizador,delegado del equipo,RF01,Consultar infromacion del usuario,CUS01,Consultar usuario,publico,
,Registra infromacion del equipo,organizador,RF02,Registrar equipo,CUS02,Mantener equipo,organizador,
,Registra infromacion del evento,organizador,RF03,Registra evento,CUS03,Mantener evento,organizador,
,asigna reglas del evento,organizador,RF04,asigna reglas del evento,,,organizador,
,Inscribe equipos participantes del evento,organizador,RF05,Inscribir participantes,CUS04,Mantener participantes,organizador,
,Registra los partidos,organizador,RF06,Registrar partidos,CUS05,Mantener partidos,organizador,
,asigna arbitros del partido,organizador,RF07,asigna arbitros,,,organizador,
,Actualiza tabla de posiciones,organizador,RF08,actualizar tabla de posiciones,CUS06,actualizar tabla de posiciones,sistema,
,Actualiza las rondas del torneo,organizador,RF09,Actualiza las rondas del torneo,CUS07,Actualiza las rondas del torneo,sistema,
,Actualiza informacion del evento,organizador,RF10,Actualiza informacion del evento,CUS08,Actualiza informacion del evento,sistema,
,actualiza resultados del partido,planillero,RF11,Registra resultados del partido,CUS09,actualiza resultados del partido,planillero,
,,,RF12,Registra cuenta,CUS10,Mantener usuario,organizador/planillero,
,,,RF13,Envia solicitud de acceso,CUS11,Mantener solicitud,admin/organizador/planillero,
,,,RF14,Verificar solicitud,,,,
,,,RF14,acceder al sistema,CUS12,acceder al sistema,seguridad,
Consulta de eventos,consulta informacion del evento,publico,RF15,consulta informacion del evento,CUS13,consulta informacion del evento,publico,
,,,RF16,consulta informacion del equipo,CUS14,consulta informacion del equipo,publico,
